file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,listarTodos/0,false,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDataFim/0,false,90,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setIdLivro/1[java.lang.Long],false,46,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getId/0,false,34,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setVisualizacoes/1[java.lang.Integer],false,110,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setAtivo/1[java.lang.Boolean],false,102,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDescricao/1[java.lang.String],false,62,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setCategoria/1[java.lang.String],false,78,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getTitulo/0,false,50,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,LivroDestaque/0,true,22,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setTitulo/1[java.lang.String],false,54,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getCategoria/0,false,74,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
